source_snapshot_id,source_id,parse_status,affected_layer_ids,affected_issue_ids,affected_country_count,affected_measurement_stub_count,block_reason,required_to_unblock
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.1,owid-land-animals-slaughtered,blocked_license_unclear,factory-farmed-animals,issue.factory-farmed-animals,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-land-animals-slaughtered.2,owid-land-animals-slaughtered,blocked_license_unclear,factory-farmed-animals,issue.factory-farmed-animals,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.1,owid-farmed-fish-killed,blocked_license_unclear,farmed-fish,issue.farmed-fish,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-fish-killed.2,owid-farmed-fish-killed,blocked_license_unclear,farmed-fish,issue.farmed-fish,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.1,owid-wild-caught-fish,blocked_license_unclear,wild-caught-fish,issue.wild-caught-fish,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-wild-caught-fish.2,owid-wild-caught-fish,blocked_license_unclear,wild-caught-fish,issue.wild-caught-fish,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.1,owid-farmed-crustaceans,blocked_license_unclear,farmed-crustaceans,issue.farmed-crustaceans,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-farmed-crustaceans.2,owid-farmed-crustaceans,blocked_license_unclear,farmed-crustaceans,issue.farmed-crustaceans,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.1,owid-insecticide-use-fao,blocked_license_unclear,insects-insecticide,issue.insect-welfare,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.owid-insecticide-use-fao.2,owid-insecticide-use-fao,blocked_license_unclear,insects-insecticide,issue.insect-welfare,249,249,"OWID metadata cites third-party/original providers, but candidate registry does not record underlying provider license URI, redistribution terms, and storage permission","Record underlying provider license URI, redistribution terms, storage permission, and required attribution; then repeat source/license review."
snapshot.release-candidate-2026-07-07.country-context.v0.fishcount-farmed-fish.1,fishcount-farmed-fish,blocked_unauthorized,farmed-fish,issue.farmed-fish,249,249,source fetch returned 401 Unauthorized; do not bypass access controls,Obtain authorized access or a license-compatible alternate source; do not bypass 401/access controls.
snapshot.release-candidate-2026-07-07.country-context.v0.fishcount-farmed-decapods.1,fishcount-farmed-decapods,blocked_unauthorized,farmed-crustaceans,issue.farmed-crustaceans,249,249,source fetch returned 401 Unauthorized; do not bypass access controls,Obtain authorized access or a license-compatible alternate source; do not bypass 401/access controls.
