place_id,iso3,place_name,geometry_level,coverage_status,gap_status,eligible_for_promotion,coverage_reason,missing_inputs,candidate_status,candidate_promote_to_canonical,candidate_blocking_reasons,candidate_next_action,last_seen_in_release
AFG,AFG,Afghanistan,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ALA,ALA,Åland,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ALB,ALB,Albania,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
DZA,DZA,Algeria,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ASM,ASM,American Samoa,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AND,AND,Andorra,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AGO,AGO,Angola,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AIA,AIA,Anguilla,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ATG,ATG,Antigua and Barbuda,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ARG,ARG,Argentina,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
